address,city,city_slug,country,currency,delivers,delivery_price,delivery_price_int,estimate_max,estimate_min,franchise,id,item_currency,item_description,item_has_options,item_id,item_name,item_price,item_tags,item_vat_percentage,location_lat,location_lon,name,online,price_range,product_line,rating_count,rating_score,restaurant_id,restaurant_name,restaurant_slug,short_description,slug,tags
fetah bllaca,Durrës,durres,ALB,ALL,True,0 ALL,0,25,15,,67d81c0c0fbd3957432c3042,ALL,"Salcë rozë, djathë, proshutë pule, sallatë, domate",False,44a24ab508e7fbc3be125ecd,Sanduiç me Proshutë Pule,21000,"{""id"": ""popular"", ""label"": ""Populyar"", ""decoration"": ""star"", ""color"": ""primary"", ""style"": {""background_color"": ""#009de0"", ""text_color"": ""#ffffff""}}",20,41.31454821,19.44789034,Flair,True,1,restaurant,318,9.6,67d81c0c0fbd3957432c3042,Flair,flair12,Experience the flavor!,flair12,"səhər yeməyi, sendviç"
fetah bllaca,Durrës,durres,ALB,ALL,True,0 ALL,0,25,15,,67d81c0c0fbd3957432c3042,ALL,"Djathë danez, mortadel, sallatë jeshile, domate",False,48b8e236d441c5c38a85104f,Sanduiç Integral Mortadel,21000,,20,41.31454821,19.44789034,Flair,True,1,restaurant,318,9.6,67d81c0c0fbd3957432c3042,Flair,flair12,Experience the flavor!,flair12,"səhər yeməyi, sendviç"
fetah bllaca,Durrës,durres,ALB,ALL,True,0 ALL,0,25,15,,67d81c0c0fbd3957432c3042,ALL,,False,4b0f2779db2f02b22e723aa2,Byrek me Wudy,6000,"{""id"": ""popular"", ""label"": ""Populyar"", ""decoration"": ""star"", ""color"": ""primary"", ""style"": {""background_color"": ""#009de0"", ""text_color"": ""#ffffff""}}",20,41.31454821,19.44789034,Flair,True,1,restaurant,318,9.6,67d81c0c0fbd3957432c3042,Flair,flair12,Experience the flavor!,flair12,"səhər yeməyi, sendviç"
fetah bllaca,Durrës,durres,ALB,ALL,True,0 ALL,0,25,15,,67d81c0c0fbd3957432c3042,ALL,,True,4dd81fd90a47b3ca6345fad6,Amita,18000,,20,41.31454821,19.44789034,Flair,True,1,restaurant,318,9.6,67d81c0c0fbd3957432c3042,Flair,flair12,Experience the flavor!,flair12,"səhər yeməyi, sendviç"
fetah bllaca,Durrës,durres,ALB,ALL,True,0 ALL,0,25,15,,67d81c0c0fbd3957432c3042,ALL,"Sallam pikant, djathë, sallatë, domate",False,508ab480b5712772f3dcb609,Sanduiç Pikant 🌶️,21000,,20,41.31454821,19.44789034,Flair,True,1,restaurant,318,9.6,67d81c0c0fbd3957432c3042,Flair,flair12,Experience the flavor!,flair12,"səhər yeməyi, sendviç"
fetah bllaca,Durrës,durres,ALB,ALL,True,0 ALL,0,25,15,,67d81c0c0fbd3957432c3042,ALL,,False,52f384c9ea5548ee184e4626,Kakao,15000,,20,41.31454821,19.44789034,Flair,True,1,restaurant,318,9.6,67d81c0c0fbd3957432c3042,Flair,flair12,Experience the flavor!,flair12,"səhər yeməyi, sendviç"
fetah bllaca,Durrës,durres,ALB,ALL,True,0 ALL,0,25,15,,67d81c0c0fbd3957432c3042,ALL,,False,5422a60ad57c0e55ab3da9aa,Fanta Portokall,18000,,20,41.31454821,19.44789034,Flair,True,1,restaurant,318,9.6,67d81c0c0fbd3957432c3042,Flair,flair12,Experience the flavor!,flair12,"səhər yeməyi, sendviç"
fetah bllaca,Durrës,durres,ALB,ALL,True,0 ALL,0,25,15,,67d81c0c0fbd3957432c3042,ALL,,False,54c53671510429bc676ce017,Petull me Pistak,18000,,20,41.31454821,19.44789034,Flair,True,1,restaurant,318,9.6,67d81c0c0fbd3957432c3042,Flair,flair12,Experience the flavor!,flair12,"səhər yeməyi, sendviç"
fetah bllaca,Durrës,durres,ALB,ALL,True,0 ALL,0,25,15,,67d81c0c0fbd3957432c3042,ALL,,False,597846c3cb151288afc0332f,Briosh me Çokollatë,11000,"{""id"": ""popular"", ""label"": ""Populyar"", ""decoration"": ""star"", ""color"": ""primary"", ""style"": {""background_color"": ""#009de0"", ""text_color"": ""#ffffff""}}",20,41.31454821,19.44789034,Flair,True,1,restaurant,318,9.6,67d81c0c0fbd3957432c3042,Flair,flair12,Experience the flavor!,flair12,"səhər yeməyi, sendviç"
fetah bllaca,Durrës,durres,ALB,ALL,True,0 ALL,0,25,15,,67d81c0c0fbd3957432c3042,ALL,"Krem djathi, ullinj, proshutë pule, sallatë",False,5bec1cb4c461faf102bbf72b,Briosh me Karbon,16000,,20,41.31454821,19.44789034,Flair,True,1,restaurant,318,9.6,67d81c0c0fbd3957432c3042,Flair,flair12,Experience the flavor!,flair12,"səhər yeməyi, sendviç"
