restaurant_id,restaurant_name,restaurant_slug,city,item_id,item_name,item_description,item_price,item_currency,item_tags,item_has_options,item_vat_percentage
67d81c0c0fbd3957432c3042,Flair,flair12,Durrës,7b5cabaa29c672386c0fb380,Briosh me Krem,,11000,ALL,,False,20
67d81c0c0fbd3957432c3042,Flair,flair12,Durrës,8b5aa13d73c95b87f035ea5a,Petull me Custard,,11000,ALL,,False,20
67d81c0c0fbd3957432c3042,Flair,flair12,Durrës,8e8e3c1c25856477c7a4b744,Coca Cola,,18000,ALL,,False,20
67d81c0c0fbd3957432c3042,Flair,flair12,Durrës,8edef6bcc69c07369bca2f3b,Ujë,,9000,ALL,,True,20
67d81c0c0fbd3957432c3042,Flair,flair12,Durrës,8f66c4ab15d2015069b951bd,Sanduiç Integral Milano,"Krem djathi, milano, ullinj, sallatë jeshile",21000,ALL,,False,20
67d81c0c0fbd3957432c3042,Flair,flair12,Durrës,9eb27e5de130b58860109455,Petull me Reçel Kajsie,,11000,ALL,,False,20
67d81c0c0fbd3957432c3042,Flair,flair12,Durrës,a18f55cb7fbeda1f4fa2795a,Sanduiç Integral me Pulë,"Krem djathi, proshutë pule, sallatë, domate",21000,ALL,,False,20
67d81c0c0fbd3957432c3042,Flair,flair12,Durrës,a1960781be8f29ceb78e553b,Qumësht,,12000,ALL,,False,20
67d81c0c0fbd3957432c3042,Flair,flair12,Durrës,aa7d89941e2eda3018c63987,Fokace Cotto,"Majonezë, djathë, proshutë cotto, rucola, domate",21000,ALL,,False,20
67d81c0c0fbd3957432c3042,Flair,flair12,Durrës,b096049310b121fb72a80ca1,Briosh me Fruta Pylli,,11000,ALL,,False,20
67d81c0c0fbd3957432c3042,Flair,flair12,Durrës,b15f5b1d0e5ec7b135fedac4,Dhallë Zeppa,,10000,ALL,,False,20
67d81c0c0fbd3957432c3042,Flair,flair12,Durrës,b29c444daa2ae23679684c34,Decaffeinato,,15000,ALL,,False,20
67d81c0c0fbd3957432c3042,Flair,flair12,Durrës,b94035a8109a282295af4a9f,Briosh me Nutella,,15000,ALL,,False,20
67d81c0c0fbd3957432c3042,Flair,flair12,Durrës,c18b35af2900c450d51761b1,Cappuccino,,17000,ALL,,False,20
67d81c0c0fbd3957432c3042,Flair,flair12,Durrës,c30852f96e98f84a34440236,Rauch,,18000,ALL,,True,20
67d81c0c0fbd3957432c3042,Flair,flair12,Durrës,c4614f20fc4c5add197e142f,Ama,,18000,ALL,,True,20
67d81c0c0fbd3957432c3042,Flair,flair12,Durrës,c5ea28fb545f9c486988030d,Sanduiç Mortadel,"Salcë Rozë, djathë, mortadel, sallatë jeshile, domate",21000,ALL,,False,20
67d81c0c0fbd3957432c3042,Flair,flair12,Durrës,c6222379fe590f5edfdf5f5d,Salep,,18000,ALL,,False,20
67d81c0c0fbd3957432c3042,Flair,flair12,Durrës,c980216ef6738cc99ea881c9,Sanduiç Vegjetarian,"Pesto, djathë, rucola, domate",21000,ALL,,False,20
67d81c0c0fbd3957432c3042,Flair,flair12,Durrës,c9e52b2078f9028d887dd12a,Saccottino me Ricotta & Spinaq,,16000,ALL,,False,20
67d81c0c0fbd3957432c3042,Flair,flair12,Durrës,d66c67e67f32811d1db0884b,Cafe Mio,,27000,ALL,,True,20
67d81c0c0fbd3957432c3042,Flair,flair12,Durrës,d8d7f21b3ddca3137628c9d9,Sanduiç Cotto,"Salcë rozë, djathë, proshutë cotto, rucola, domate",21000,ALL,,False,20
67d81c0c0fbd3957432c3042,Flair,flair12,Durrës,db54608d05bf908e073e4bed,Macchiato,,10000,ALL,,False,20
67d81c0c0fbd3957432c3042,Flair,flair12,Durrës,dc7b2517007bc663127fbfef,Briosh me Krem Djathi & Mjeder,,15000,ALL,,False,20
67d81c0c0fbd3957432c3042,Flair,flair12,Durrës,e7f52d07f63c2fd71df1f8c1,Lemon Soda,,18000,ALL,,False,20
67d81c0c0fbd3957432c3042,Flair,flair12,Durrës,ecc1751988106e25b3dba788,BROWNIE,,12000,ALL,,False,20
67d81c0c0fbd3957432c3042,Flair,flair12,Durrës,f29075146174767235bc2b29,Byrek me Patate,,6000,ALL,,False,20
67d81c0c0fbd3957432c3042,Flair,flair12,Durrës,f3907f4363ea83891ff79ce1,Briosh Integral me Salce Pesto & Majonezë,"Proshutë pule, sallatë  jeshile, domate",16000,ALL,,False,20
67d81c0c0fbd3957432c3042,Flair,flair12,Durrës,f3d56636e2cd535635e260f6,Sanduiç me Ton,"Salce rozë, ton, sallatë jeshile, domate",21000,ALL,,False,20
