id,name,slug,city,city_slug,country,address,online,delivers,franchise,product_line,short_description,tags,currency,price_range,delivery_price,delivery_price_int,estimate_min,estimate_max,rating_score,rating_count,location_lat,location_lon
5d3035d17c5a541646bcec97,McDonald's Sahil,mcdonalds-sahil,Baku,baku,AZE,"Uzeyir Hajibayov cross Bulbul avenue, 207, 2nd entrance",True,True,,restaurant,I'm lovin' it!,"burger, dondurma, dürüm",AZN,2,"0,00 ₼",0,15,25,8.8,5318,40.37215349,49.8441199
5ebd3138fc9d3fb98c9408f4,KFC Sahil,kfc-sahil,Baku,baku,AZE,U.Hajibeyli str. 31,True,True,,restaurant,So Good,"toyuq, içkilər, qızardılmış toyuq",AZN,2,"0,00 ₼",0,15,25,8.8,1561,40.37255474,49.84424912
5fdcab215dd17cbf1eb4c4d8,Papa Johns Sahil,papa-johns-sahil,Baku,baku,AZE,Nizami street 106 A,True,True,,restaurant,Daha yaxşı inqrediyentlər. Daha yaxşı pizza.,"pizza, amerikan, qəlyanaltılar",AZN,2,"0,00 ₼",0,25,35,9.2,692,40.37367436,49.84312244
5d3f0e585ed88fbd2c11342c,BİR-İKİ Dönər Mərkəz,biriki-doner,Baku,baku,AZE,Yusif Mammadaliyev 27A,True,True,,restaurant,Bakı şəhərinə dönərism konsepsiyasını yayan məkan,"dönər, şaurma",AZN,1,"0,00 ₼",0,35,45,9.0,1028,40.37150633,49.83854847
5d7b61d86745b3eae7998911,Borani Sahil,borani-uzeyir-hajibayli,Baku,baku,AZE,Uzeyir Hajibayli str. 17,True,True,,restaurant,Boranı sizləri həm xidmət həm qida tərəfindən razı salacaq,"hamburger, türk, dönər",AZN,2,"0,00 ₼",0,25,35,9.0,330,40.37208878,49.84399333
5d0a52b4fb98c76f9a8f5442,Fryday Mammadamin Rasul-Zadeh,fryday-yusif-safarov,Baku,baku,AZE,9R9Q+C6J Баку,True,True,,restaurant,Everyday is Fryday!,"burger, hamburger, hotdoq",AZN,2,"0,00 ₼",0,25,35,9.6,711,40.36859162,49.8380657
6630e30c03b12bb111730072,Pizza Mizza Park Bulvar,test-venue-ob,Baku,baku,AZE,"Sabail distr., Neftchilar avenue",True,True,,restaurant,Authentic halal pizza & more,"pizza, amerikan, italyan",AZN,1,"0,00 ₼",0,40,50,9.2,317,40.37094085,49.84965602
662ab88c790cd117a57343af,Malakan Dönər,malakan-doner,Baku,baku,AZE,"Sebail area, Rasul Rza street 17",True,True,,restaurant,Dadlı ət və ədviyyatların ləzzətli yeməklər yaratdığı yer.,"dönər, toyuq, şaurma",AZN,1,"0,00 ₼",0,30,40,8.2,292,40.37168846,49.83952126
68c2963f31696d0efc921d66,Ming's,mings,Baku,baku,AZE,"147 Lev Tolstoy, Baku 1005",True,True,,restaurant,"Alovlu Wok əriştələri, birbaşa sizə","vok, asiya, fried rice",AZN,2,"0,00 ₼",0,30,40,9.4,684,40.3727356,49.8358798
686bba5b254e2dd2f6794fd9,Usta Dönərçi,usta-donerci,Baku,baku,AZE,Şixali Qurbanov 1,True,True,,restaurant,🌯🌯🌯,"stritfud, toyuq, dürüm",AZN,2,"0,00 ₼",0,30,40,8.8,615,40.37610336,49.83181935
6821af69cd24e38fddaa5ebb,Hatay Usulü Dönər Fəvvarələr Meydanı,hatay-usul-fvvarlr-meydan,Baku,baku,AZE,Fountain square,True,True,,restaurant,Hatay üsulu dönərlər!,"dönər, içkilər, soft drinks",AZN,1,"0,00 ₼",0,25,35,9.0,490,40.37146606,49.83857651
5f93f0deccf9294ed8853c13,Qoç Ət Nizami,qoch-et-nizami,Baku,baku,AZE,"Nizami metro station, Z.Ahmadbeyov str., 2",True,True,,restaurant,"Dadına doya bilməyəcəyiniz əsl kabablar, təbii kənd məhsullarından hazırlanan Azərbaycan xörəkləri məhz ""QOÇ ƏT"" restoranlarındadır!","kabab, salat, içkilər",AZN,2,"0,00 ₼",0,30,40,8.8,565,40.37926831,49.83153688
5fc4b2a18ee0b27bee24ae7d,Dürmək Restoran,durmek-restaurant,Baku,baku,AZE,Rashid Behbudov str. 58A,True,True,,restaurant,Sevqi ilə hazırladıq!,"kabab, dönər",AZN,2,"0,00 ₼",0,25,35,9.2,258,40.37652838,49.84554184
635a813cb30ad26917cec4a8,Burger Baku,burger-bey-nizami,Baku,baku,AZE,"Nizami str.,62",True,True,,restaurant,By Hollywooddan ən dadlı burger məkanı,"burger, qəlyanaltılar, soft drinks",AZN,2,"0,00 ₼",0,30,40,8.8,774,40.37190436,49.83807807
5e07036f8e4e6f2739f7cdce,KÖZ Halil Usta 28 May,koz-halil-usta,Baku,baku,AZE,Dilara Aliyeva 225A,True,True,,restaurant,Keep Calm and Eat Tantuni!,"dönər, türk, dürüm",AZN,1,"0,00 ₼",0,20,30,8.6,795,40.37704686,49.84555749
5ea6c3c6ad2c7666e2c7d3a5,Pizza Hut 28 May,pizza-hut-baku,Baku,baku,AZE,Fikrat Amirov str. 24,True,True,,restaurant,Pizza Hut - 1958 ildə yaranmış əfsanəvi pizza dadıdır. Bu gün dünyanın ən iri pizzeriya şəbəkəsidir. Hər il 110 ölkədə yerləşən 14 min restoran 1.5 milyard pizza hazırlayır.,"içkilər, pizza, qanadlar",AZN,2,"0,00 ₼",0,40,50,8.6,335,40.37975862,49.84946155
67ebc5b69b731d0be8f24fbb,Dürüm Kabab,durum-kabab,Baku,baku,AZE,rashid behbudov st,True,True,,restaurant,Dadlı dürüm və kabablar😋,"kabab, toyuq, şorba",AZN,2,"0,00 ₼",0,35,45,8.2,439,40.38384506,49.84209448
67dac45f00c1b609dc0b69c0,Bizim Mətbəx,bizim-mtbx,Baku,baku,AZE,"Nasimi distr., Mirali Qashqai str., 20",True,True,,restaurant,"Sizə xüsusi, bizə doğma!",azərbəycan,AZN,2,"0,00 ₼",0,50,60,9.2,630,40.38369624,49.84700354
5d32b3480095f06b17f8079a,Sushi Room,sushi-room-1,Baku,baku,AZE,91 Nizami Street,True,True,,restaurant,Asian Cuisine,"asiya, pivə, içkilər",AZN,3,"0,00 ₼",0,25,35,8.6,271,40.37420393,49.84463469
